MS46122B
!2032304/20262023
!4/29/2022.3:56:32.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 2
!TRACE:       	TRACE.1           	TRACE.2           
!PARAMETER:   	S11               	S12               
!PORT:        	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2
1	0.001000000	-4.249898E-002	0.001000000	-9.678259E+001
2	0.100995000	-3.925920E-001	0.100995000	-5.024811E+001
3	0.200990000	-5.689934E-001	0.200990000	-4.178671E+001
4	0.300985000	-1.189815E+000	0.300985000	-2.843327E+001
5	0.400980000	-1.070771E+000	0.400980000	-3.660420E+001
6	0.500975000	-1.633499E+000	0.500975000	-3.029846E+001
7	0.600970000	-1.758517E+000	0.600970000	-3.390833E+001
8	0.700965000	-2.713109E+000	0.700965000	-2.886143E+001
9	0.800960000	-2.783749E+000	0.800960000	-4.136169E+001
10	0.900955000	-3.644428E+000	0.900955000	-2.783944E+001
11	1.000950000	-3.714578E+000	1.000950000	-3.267029E+001
12	1.100945000	-5.238122E+000	1.100945000	-2.727749E+001
13	1.200940000	-6.165602E+000	1.200940000	-2.912319E+001
14	1.300935000	-7.538105E+000	1.300935000	-2.779302E+001
15	1.400930000	-8.617562E+000	1.400930000	-2.511781E+001
16	1.500925000	-9.086619E+000	1.500925000	-2.343324E+001
17	1.600920000	-1.028811E+001	1.600920000	-2.196132E+001
18	1.700915000	-1.273541E+001	1.700915000	-2.688107E+001
19	1.800910000	-2.438456E+001	1.800910000	-2.412081E+001
20	1.900905000	-2.121718E+001	1.900905000	-2.309361E+001
21	2.000900000	-1.518059E+001	2.000900000	-2.176361E+001
22	2.100895000	-1.352906E+001	2.100895000	-3.265889E+001
23	2.200890000	-1.223618E+001	2.200890000	-3.113516E+001
24	2.300885000	-1.100788E+001	2.300885000	-2.853970E+001
25	2.400880000	-1.240343E+001	2.400880000	-2.990842E+001
26	2.500875000	-1.389167E+001	2.500875000	-3.162757E+001
27	2.600870000	-2.063444E+001	2.600870000	-4.952255E+001
28	2.700865000	-2.089342E+001	2.700865000	-3.777847E+001
29	2.800860000	-1.015214E+001	2.800860000	-3.269134E+001
30	2.900855000	-6.399490E+000	2.900855000	-4.823666E+001
31	3.000850000	-5.461939E+000	3.000850000	-3.673110E+001
32	3.100845000	-5.187551E+000	3.100845000	-3.086050E+001
33	3.200840000	-5.227574E+000	3.200840000	-2.839792E+001
34	3.300835000	-5.178864E+000	3.300835000	-2.965360E+001
35	3.400830000	-5.128174E+000	3.400830000	-3.156626E+001
36	3.500825000	-5.189536E+000	3.500825000	-3.021213E+001
37	3.600820000	-5.287279E+000	3.600820000	-3.115123E+001
38	3.700815000	-5.504396E+000	3.700815000	-3.131505E+001
39	3.800810000	-5.617999E+000	3.800810000	-3.111047E+001
40	3.900805000	-5.649159E+000	3.900805000	-3.279164E+001
41	4.000800000	-5.694969E+000	4.000800000	-3.499099E+001
42	4.100795000	-5.866875E+000	4.100795000	-3.790244E+001
43	4.200790000	-6.163202E+000	4.200790000	-3.749547E+001
44	4.300785000	-6.625436E+000	4.300785000	-3.846154E+001
45	4.400780000	-7.354274E+000	4.400780000	-3.764309E+001
46	4.500775000	-8.120809E+000	4.500775000	-3.721950E+001
47	4.600770000	-8.838613E+000	4.600770000	-3.791249E+001
48	4.700765000	-9.280473E+000	4.700765000	-3.883574E+001
49	4.800760000	-9.711095E+000	4.800760000	-3.848110E+001
50	4.900755000	-1.025772E+001	4.900755000	-3.593564E+001
51	5.000750000	-1.143654E+001	5.000750000	-3.623158E+001
52	5.100745000	-1.251289E+001	5.100745000	-4.248644E+001
53	5.200740000	-1.418808E+001	5.200740000	-4.071553E+001
54	5.300735000	-1.610561E+001	5.300735000	-4.125540E+001
55	5.400730000	-1.817900E+001	5.400730000	-4.192357E+001
56	5.500725000	-2.184006E+001	5.500725000	-3.895091E+001
57	5.600720000	-2.330835E+001	5.600720000	-4.350167E+001
